iter	Logloss
0	0.685166673
1	0.6782422554
2	0.6721432302
3	0.6662377604
4	0.6609745788
5	0.6563594784
6	0.6518490716
7	0.6478032852
8	0.644177404
9	0.6408281543
10	0.6374833315
11	0.6347062917
12	0.6321468003
13	0.6295378033
14	0.6270823201
15	0.6251538422
16	0.6229910605
17	0.6212054383
18	0.6193498678
19	0.617776969
20	0.6163944627
21	0.6150451817
22	0.6136239709
23	0.6124075656
24	0.6112130571
25	0.6100251802
26	0.6089527351
27	0.6078388059
28	0.6069883324
29	0.6060430873
30	0.6051436588
31	0.6042591577
32	0.6035191552
33	0.6027102996
34	0.6019132685
35	0.6011119862
36	0.6004841508
37	0.5999084731
38	0.5991884493
39	0.5985339891
40	0.5979717067
41	0.5974656435
42	0.5969378208
43	0.5963661495
44	0.5958919055
45	0.5952625929
46	0.5948747567
47	0.5943608637
48	0.5940108582
49	0.5935142803
50	0.5930587107
51	0.5927063013
52	0.5922975594
53	0.5919203888
54	0.5916764764
55	0.5911402911
56	0.5907615572
57	0.5902946737
58	0.5899549816
59	0.5894449029
60	0.5891439464
61	0.5888451762
62	0.588483262
63	0.5882180637
64	0.5878611968
65	0.5876254868
66	0.5874372783
67	0.5872068559
68	0.5867945839
69	0.5864935016
70	0.586229706
71	0.5858262922
72	0.5855156278
73	0.5852678489
74	0.5849841631
75	0.5847747806
76	0.5845656567
77	0.5843245462
78	0.5840801323
79	0.5838937383
80	0.5837236298
81	0.5833557101
82	0.5830978701
83	0.5829175552
84	0.582668088
85	0.5824107088
86	0.5821912292
87	0.5819423352
88	0.5817023745
89	0.5814004658
90	0.5812495332
91	0.5808859735
92	0.5806662686
93	0.5803599353
94	0.5800322708
95	0.5797575744
96	0.579592485
97	0.5794511593
98	0.5792764747
99	0.5790346671
