iter	Passed	Remaining
0	147	14620
1	292	14309
2	427	13826
3	572	13741
4	723	13754
5	864	13551
6	1013	13465
7	1174	13501
8	1324	13388
9	1467	13206
10	1609	13021
11	1747	12818
12	1891	12660
13	2028	12459
14	2160	12242
15	2290	12026
16	2413	11781
17	2548	11610
18	2689	11467
19	2825	11301
20	2956	11120
21	3095	10973
22	3224	10794
23	3369	10670
24	3507	10523
25	3661	10420
26	3801	10278
27	3954	10167
28	4108	10059
29	4251	9919
30	4404	9802
31	4555	9679
32	4691	9525
33	4850	9416
34	4977	9244
35	5119	9101
36	5246	8932
37	5397	8805
38	5543	8670
39	5680	8520
40	5809	8360
41	5927	8185
42	6065	8040
43	6204	7896
44	6343	7753
45	6464	7588
46	6598	7440
47	6728	7289
48	6857	7137
49	6991	6991
50	7138	6858
51	7282	6722
52	7432	6591
53	7561	6441
54	7677	6281
55	7820	6144
56	7960	6005
57	8090	5858
58	8239	5726
59	8390	5593
60	8511	5441
61	8643	5297
62	8786	5160
63	8927	5021
64	9072	4884
65	9208	4743
66	9340	4600
67	9491	4466
68	9638	4330
69	9801	4200
70	9947	4063
71	10111	3932
72	10250	3791
73	10397	3653
74	10553	3517
75	10704	3380
76	10830	3234
77	10966	3093
78	11117	2955
79	11269	2817
80	11416	2677
81	11553	2536
82	11692	2394
83	11821	2251
84	11964	2111
85	12122	1973
86	12258	1831
87	12380	1688
88	12519	1547
89	12652	1405
90	12803	1266
91	12962	1127
92	13114	987
93	13265	846
94	13413	705
95	13557	564
96	13691	423
97	13825	282
98	13954	140
99	14099	0
