iter	Logloss
0	0.6852262244
1	0.6783148191
2	0.6722335097
3	0.6664666049
4	0.6614425854
5	0.6561783313
6	0.6513472386
7	0.6465688713
8	0.6422418633
9	0.6384399126
10	0.6348138466
11	0.6315971669
12	0.6286960015
13	0.6259694842
14	0.6237525762
15	0.6216800023
16	0.6198453825
17	0.6180725039
18	0.6166051527
19	0.6150856724
20	0.6137516274
21	0.6124540055
22	0.6112053727
23	0.6099456083
24	0.6089033392
25	0.6080104958
26	0.6070724477
27	0.6060942156
28	0.6052133196
29	0.6044936125
30	0.6036980367
31	0.6028266783
32	0.6022219989
33	0.6015199204
34	0.6006157108
35	0.5998945472
36	0.5990587034
37	0.5982970735
38	0.5976233169
39	0.5969925684
40	0.5963664615
41	0.5959590138
42	0.5954749872
43	0.5949649545
44	0.5944679083
45	0.5939367773
46	0.5934144391
47	0.593046719
48	0.5927413464
49	0.5924270404
50	0.5921478857
51	0.5917092721
52	0.5912749395
53	0.5908605375
54	0.5905609592
55	0.5902388435
56	0.5897726101
57	0.589522356
58	0.5891842968
59	0.5888178598
60	0.5885225707
61	0.5882522463
62	0.5879310815
63	0.587612611
64	0.5873853036
65	0.5871273794
66	0.5868828481
67	0.5865636025
68	0.5863503995
69	0.5860853889
70	0.5858498598
71	0.5856317658
72	0.5851536849
73	0.5849682984
74	0.5846461002
75	0.5842306767
76	0.5839614481
77	0.5836043507
78	0.5833678721
79	0.5830594257
80	0.5829183505
81	0.5826518904
82	0.5824519343
83	0.5822335929
84	0.5819629823
85	0.5817955548
86	0.5815438396
87	0.5813067935
88	0.5811419531
89	0.5809731351
90	0.5807991841
91	0.5805964745
92	0.5803961893
93	0.5800301446
94	0.57980661
95	0.5797119414
96	0.5794804574
97	0.5792550178
98	0.5790620037
99	0.5788672299
100	0.5787113096
101	0.5785568234
102	0.5783746103
103	0.5782383483
104	0.5781016979
105	0.5779243004
106	0.5777054652
107	0.5775790236
108	0.5773815606
109	0.5772354484
110	0.57696982
111	0.5767698295
112	0.5766038605
113	0.5764169595
114	0.5762344383
115	0.5760391944
116	0.5759037031
117	0.5757341221
118	0.5755945491
119	0.575445435
120	0.5752703082
121	0.575145516
122	0.57500628
123	0.574861544
124	0.5747618564
125	0.5746102461
126	0.5745202904
127	0.5744206739
128	0.5743158878
129	0.5741233825
130	0.5739638729
131	0.5737278986
132	0.5735525297
133	0.5734384232
134	0.5732723966
135	0.5731342856
136	0.5729867507
137	0.57283177
138	0.57273297
139	0.5726068721
140	0.5724103125
141	0.5723568721
142	0.5722520134
143	0.572110849
144	0.5720287334
145	0.5719076883
146	0.5717744715
147	0.5716904104
148	0.5715701742
149	0.5714232882
150	0.5713328998
151	0.5712181614
152	0.5710845452
153	0.5709532223
154	0.5708192087
155	0.5706616783
156	0.5705456884
157	0.5704133733
158	0.5702921454
159	0.5701004261
160	0.5699888426
161	0.5698657206
162	0.5697660534
163	0.569604534
164	0.5694794922
165	0.5693994226
166	0.5692817301
167	0.569180126
168	0.5691703411
169	0.5690917167
170	0.5690103491
171	0.568911345
172	0.5687583874
173	0.5685881169
174	0.5685046222
175	0.5683739809
176	0.5682688683
177	0.5681747612
178	0.5680037718
179	0.5679037941
180	0.5677903135
181	0.567675618
182	0.5675524351
183	0.5673850098
184	0.5672496622
185	0.5670808298
186	0.5669680673
187	0.5669105115
188	0.5669062466
189	0.5667213327
190	0.5666115202
191	0.5664384216
192	0.5663673525
193	0.566325269
194	0.5662042727
195	0.5661886472
196	0.566058387
197	0.5660413521
198	0.5659655019
199	0.5658606847
200	0.5657811921
201	0.565649672
202	0.565539929
203	0.5653536849
204	0.5652767227
205	0.5651463573
206	0.5649737282
207	0.5648775622
208	0.5647304527
209	0.5645417162
210	0.5643792174
211	0.5642828243
212	0.5641900199
213	0.5641057296
214	0.5639710115
215	0.5638678302
216	0.563774728
217	0.5636461748
218	0.5635277446
219	0.5633919606
220	0.5633848653
221	0.5632373496
222	0.5631421652
223	0.5630564211
224	0.563046639
225	0.5629571262
226	0.5628715929
227	0.5628034527
228	0.562728713
229	0.5626474453
230	0.5625143247
231	0.5623720703
232	0.5622505172
233	0.5621417896
234	0.5620449773
235	0.5619150562
236	0.5617673547
237	0.561608345
238	0.5615325296
239	0.5613464337
240	0.5612573758
241	0.561144589
242	0.5610767918
243	0.5609979599
244	0.5608975056
245	0.5608264
246	0.5607557292
247	0.5606340597
248	0.5605739976
249	0.5605167335
250	0.5603906654
251	0.560279606
252	0.5601777594
253	0.5600998744
254	0.5600488247
255	0.5600051053
256	0.5598946422
257	0.5598922638
258	0.5598152507
259	0.5597038738
260	0.5596152388
261	0.5595613865
262	0.5594517114
263	0.5593531842
264	0.5592642613
265	0.5591868084
266	0.5590744472
267	0.559006315
268	0.5589339019
269	0.5588158726
270	0.5587144347
271	0.5586436822
272	0.5585252599
273	0.5583796863
274	0.5582681654
275	0.5581935361
276	0.5580134533
277	0.5579053425
278	0.5578244209
279	0.5577178977
280	0.5576348498
281	0.5575428836
282	0.5574273758
283	0.5573358945
284	0.5572520647
285	0.5571537008
286	0.5570468305
287	0.5569753452
288	0.5568873521
289	0.556792288
290	0.5566860177
291	0.5566299844
292	0.5565322396
293	0.5564647123
294	0.556394136
295	0.5563010513
296	0.556243765
297	0.5561318666
298	0.5560452135
299	0.5559557716
