iter	Passed	Remaining
0	526	157555
1	1097	163573
2	1712	169554
3	2311	171028
4	2998	176901
5	3582	175565
6	4106	171868
7	4639	169337
8	5121	165605
9	5581	161859
10	6068	159448
11	6535	156844
12	7009	154747
13	7489	153002
14	8007	152146
15	8555	151862
16	9191	153015
17	9803	153588
18	10355	153151
19	10843	151815
20	11341	150681
21	11791	149005
22	12354	148797
23	12831	147567
24	13398	147388
25	13981	147342
26	14548	147104
27	15065	146347
28	15610	145877
29	16137	145234
30	16721	145101
31	17186	143937
32	17717	143347
33	18191	142321
34	18711	141674
35	19307	141585
36	19781	140605
37	20336	140212
38	20826	139377
39	21344	138739
40	21823	137861
41	22281	136871
42	22842	136521
43	23347	135840
44	23927	135588
45	24541	135511
46	25062	134912
47	25629	134552
48	26126	133830
49	26637	133187
50	27215	132877
51	27778	132483
52	28298	131880
53	28791	131162
54	29269	130381
55	29825	129956
56	30352	129395
57	30866	128787
58	31465	128528
59	31932	127731
60	32429	127061
61	33004	126693
62	33544	126192
63	34124	125833
64	34632	125209
65	35264	125029
66	35833	124613
67	36410	124225
68	36940	123669
69	37499	123214
70	38054	122738
71	38589	122198
72	39148	121736
73	39700	121248
74	40324	120974
75	40862	120436
76	41398	119894
77	41907	119276
78	42533	118985
79	43000	118250
80	43545	117734
81	44052	117114
82	44490	116318
83	45051	115846
84	45678	115540
85	46183	114922
86	46752	114462
87	47275	113889
88	47900	113562
89	48476	113112
90	49037	112625
91	49602	112145
92	50078	111464
93	50647	110993
94	51170	110420
95	51688	109837
96	52200	109243
97	52815	108865
98	53405	108429
99	53938	107877
100	54465	107313
101	54911	106592
102	55422	106002
103	55965	105473
104	56587	105091
105	57139	104576
106	57651	103987
107	58114	103314
108	58736	102923
109	59262	102362
110	59740	101720
111	60207	101061
112	60742	100521
113	61212	99873
114	61774	99376
115	62358	98914
116	62957	98472
117	63484	97917
118	63971	97300
119	64540	96810
120	64988	96140
121	65467	95518
122	65947	94900
123	66443	94307
124	67046	93864
125	67523	93246
126	68029	92670
127	68567	92137
128	69149	91662
129	69749	91210
130	70226	90597
131	70801	90110
132	71311	89540
133	71808	88956
134	72425	88519
135	72972	87995
136	73513	87464
137	73982	86849
138	74477	86265
139	74965	85674
140	75523	85165
141	75996	84558
142	76540	84033
143	77047	83467
144	77614	82967
145	78201	82487
146	78654	81864
147	79193	81333
148	79686	80755
149	80200	80200
150	80736	79667
151	81331	79191
152	81825	78616
153	82414	78132
154	82984	77630
155	83430	77012
156	83992	76502
157	84450	75898
158	84947	75331
159	85441	74761
160	85970	74223
161	86559	73735
162	87113	73218
163	87700	72726
164	88263	72215
165	88799	71681
166	89380	71183
167	89957	70680
168	90247	69954
169	90720	69374
170	91283	68862
171	91841	68346
172	92350	67794
173	92935	67298
174	93616	66869
175	94111	66305
176	94658	65779
177	95124	65197
178	95744	64721
179	96250	64166
180	96859	63681
181	97481	63202
182	98001	62656
183	98615	62170
184	99089	61595
185	99569	61026
186	100022	60441
187	100572	59915
188	100811	59206
189	101399	58704
190	101934	58172
191	102443	57624
192	103044	57128
193	103589	56600
194	104222	56119
195	104519	55459
196	104953	54873
197	105401	54297
198	105988	53792
199	106548	53274
200	107022	52712
201	107589	52197
202	108092	51650
203	108774	51188
204	109411	50702
205	109923	50159
206	110432	49614
207	110986	49090
208	111479	48539
209	112002	48000
210	112463	47437
211	112942	46881
212	113474	46348
213	114100	45853
214	114671	45335
215	115208	44803
216	115711	44258
217	116170	43697
218	116677	43154
219	117239	42632
220	117540	42016
221	118137	41507
222	118633	40963
223	119178	40435
224	119507	39835
225	120146	39339
226	120699	38815
227	121277	38298
228	121780	37757
229	122240	37203
230	122887	36706
231	123421	36175
232	124005	35658
233	124490	35112
234	125060	34591
235	125525	34040
236	126048	33506
237	126631	32988
238	127156	32454
239	127659	31914
240	128247	31396
241	128774	30863
242	129288	30326
243	129769	29783
244	130315	29254
245	130922	28739
246	131409	28197
247	131957	27668
248	132389	27115
249	132838	26567
250	133311	26025
251	133918	25508
252	134387	24965
253	134881	24427
254	135358	23886
255	135979	23371
256	136570	22850
257	136808	22271
258	137325	21738
259	137900	21215
260	138454	20688
261	138947	20152
262	139534	19630
263	140103	19105
264	140675	18579
265	141192	18047
266	141831	17529
267	142402	17003
268	142899	16467
269	143385	15931
270	143976	15407
271	144501	14875
272	145044	14345
273	145514	13807
274	146053	13277
275	146617	12749
276	147291	12230
277	147885	11703
278	148451	11173
279	148915	10636
280	149461	10105
281	149997	9574
282	150446	9037
283	150896	8501
284	151367	7966
285	151863	7433
286	152465	6906
287	153031	6376
288	153530	5843
289	154092	5313
290	154604	4781
291	155206	4252
292	155702	3719
293	156186	3187
294	156729	2656
295	157213	2124
296	157776	1593
297	158299	1062
298	158838	531
299	159354	0
